Title2,Title_URL,Number,Number1,Number2,cardschool__departmentsc19lmz2k0,cardschool__schoolsc19lmz2k1,cardfeedback__cardfeedbackitemlq6nix1,cardfeedback__cardfeedbackitemlq6nix13,cardfeedback__cardfeedbackitemlq6nix14,cardfeedback__cardfeedbackitemlq6nix15,Field
Rick Rambuss,https://www.ratemyprofessors.com/professor/229291,QUALITY,4,12 ratings,English,Emory University,"N/A
would take again",N/A,"4.1
level of difficulty",4.1,4
Louise Pratt,https://www.ratemyprofessors.com/professor/238704,QUALITY,4.5,17 ratings,Classics,Emory University,"90%
would take again",90%,"2.8
level of difficulty",2.8,4.5
Darryl Neill,https://www.ratemyprofessors.com/professor/255302,QUALITY,4,59 ratings,Psychology,Emory University,"75%
would take again",75%,"3.3
level of difficulty",3.3,4
Donna Troka,https://www.ratemyprofessors.com/professor/257372,QUALITY,4.6,6 ratings,English,Emory University,"N/A
would take again",N/A,"2.2
level of difficulty",2.2,4.6
John Witte,https://www.ratemyprofessors.com/professor/272407,QUALITY,4.1,6 ratings,Law,Emory University,"0%
would take again",0%,"3
level of difficulty",3,4.1
Frank Alexander,https://www.ratemyprofessors.com/professor/272408,QUALITY,4.4,6 ratings,Law,Emory University,"100%
would take again",100%,"3.8
level of difficulty",3.8,4.4
Merle Black,https://www.ratemyprofessors.com/professor/272419,QUALITY,4.5,13 ratings,Political Science,Emory University,"100%
would take again",100%,"3.8
level of difficulty",3.8,4.5
Ben Hary,https://www.ratemyprofessors.com/professor/272424,QUALITY,4.4,17 ratings,Languages,Emory University,"100%
would take again",100%,"2.4
level of difficulty",2.4,4.4
Stefan Lutz,https://www.ratemyprofessors.com/professor/295177,QUALITY,,24 ratings,Chemistry,Emory University,"50%
would take again",50%,"4
level of difficulty",4,3.9
Sheila Tefft,https://www.ratemyprofessors.com/professor/300159,QUALITY,,12 ratings,Journalism,Emory University,"29%
would take again",29%,"3.5
level of difficulty",3.5,3.2
Justin Gallivan,https://www.ratemyprofessors.com/professor/321789,QUALITY,,22 ratings,Chemistry,Emory University,"N/A
would take again",N/A,"3.7
level of difficulty",3.7,3.4
Oded Borowski,https://www.ratemyprofessors.com/professor/416137,QUALITY,,11 ratings,International Studies,Emory University,"N/A
would take again",N/A,"4.5
level of difficulty",4.5,2.5
David Bell,https://www.ratemyprofessors.com/professor/427363,QUALITY,4.2,3 ratings,Religion,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3,4.2
Micheal Giles,https://www.ratemyprofessors.com/professor/440767,QUALITY,,21 ratings,Political Science,Emory University,"N/A
would take again",N/A,"3.6
level of difficulty",3.6,3.6
Dorothy Fletcher,https://www.ratemyprofessors.com/professor/445165,QUALITY,4.8,9 ratings,Art History,Emory University,"N/A
would take again",N/A,"2.3
level of difficulty",2.3,4.8
Noriko Takeda,https://www.ratemyprofessors.com/professor/448345,QUALITY,4.2,16 ratings,Languages,Emory University,"100%
would take again",100%,"3.7
level of difficulty",3.7,4.2
Larry Taulbee,https://www.ratemyprofessors.com/professor/456466,QUALITY,,14 ratings,Political Science,Emory University,"N/A
would take again",N/A,"3.8
level of difficulty",3.8,2.4
Vanessa Siddle Walker,https://www.ratemyprofessors.com/professor/461839,QUALITY,,16 ratings,Education,Emory University,"0%
would take again",0%,"1.8
level of difficulty",1.8,1.8
Regina Werum,https://www.ratemyprofessors.com/professor/461854,QUALITY,4,12 ratings,Sociology,Emory University,"N/A
would take again",N/A,"3.5
level of difficulty",3.5,4
Joseph Cadray,https://www.ratemyprofessors.com/professor/462152,QUALITY,,7 ratings,Education,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2,2.6
Richard Prior,https://www.ratemyprofessors.com/professor/464605,QUALITY,4.6,25 ratings,Music,Emory University,"84%
would take again",84%,"2.6
level of difficulty",2.6,4.6
Casey Cochran,https://www.ratemyprofessors.com/professor/475865,QUALITY,4.8,10 ratings,Education,Emory University,"N/A
would take again",N/A,"1.2
level of difficulty",1.2,4.8
Judy Raggi Moore,https://www.ratemyprofessors.com/professor/488681,QUALITY,,8 ratings,Languages,Emory University,"N/A
would take again",N/A,"3.9
level of difficulty",3.9,3.7
Jennifer Holzman,https://www.ratemyprofessors.com/professor/522312,QUALITY,4.8,22 ratings,Biology,Emory University,"N/A
would take again",N/A,"3.1
level of difficulty",3.1,4.8
Corey Keyes,https://www.ratemyprofessors.com/professor/534624,QUALITY,4.1,56 ratings,Sociology,Emory University,"75%
would take again",75%,"3.2
level of difficulty",3.2,4.1
Judith Rohrer,https://www.ratemyprofessors.com/professor/562087,QUALITY,,5 ratings,Art History,Emory University,"N/A
would take again",N/A,"3.2
level of difficulty",3.2,3
Sung Mo,https://www.ratemyprofessors.com/professor/570739,QUALITY,,5 ratings,Chemistry,Emory University,"N/A
would take again",N/A,"3.2
level of difficulty",3.2,3.1
Harry Rusche,https://www.ratemyprofessors.com/professor/579962,QUALITY,4.8,14 ratings,English,Emory University,"N/A
would take again",N/A,"1.7
level of difficulty",1.7,4.8
Daphne Norton,https://www.ratemyprofessors.com/professor/598424,QUALITY,,15 ratings,Chemistry,Emory University,"N/A
would take again",N/A,"3.3
level of difficulty",3.3,1.8
Darrell Stokes,https://www.ratemyprofessors.com/professor/608801,QUALITY,,16 ratings,Biology,Emory University,"N/A
would take again",N/A,"2.6
level of difficulty",2.6,3.3
Holloway Sparks,https://www.ratemyprofessors.com/professor/617480,QUALITY,,8 ratings,Women's Studies,Emory University,"N/A
would take again",N/A,"3.1
level of difficulty",3.1,3.9
Myron Kaufman,https://www.ratemyprofessors.com/professor/619372,QUALITY,,8 ratings,Chemistry,Emory University,"N/A
would take again",N/A,"4.5
level of difficulty",4.5,1.4
Vladimir Oliker,https://www.ratemyprofessors.com/professor/619373,QUALITY,,9 ratings,Mathematics,Emory University,"N/A
would take again",N/A,"3.2
level of difficulty",3.2,3
David Howard,https://www.ratemyprofessors.com/professor/638580,QUALITY,4.8,11 ratings,Economics,Emory University,"100%
would take again",100%,"3.4
level of difficulty",3.4,4.8
Lori Marino,https://www.ratemyprofessors.com/professor/643034,QUALITY,,8 ratings,Psychology,Emory University,"N/A
would take again",N/A,"3.1
level of difficulty",3.1,2.4
Ron Schuchard,https://www.ratemyprofessors.com/professor/654300,QUALITY,4.4,4 ratings,English,Emory University,"N/A
would take again",N/A,"3.3
level of difficulty",3.3,4.4
Gregg Orloff,https://www.ratemyprofessors.com/professor/683644,QUALITY,4.6,14 ratings,Biology,Emory University,"100%
would take again",100%,"3.4
level of difficulty",3.4,4.6
Janice Akers,https://www.ratemyprofessors.com/professor/692495,QUALITY,4.8,15 ratings,Theater,Emory University,"N/A
would take again",N/A,"1.8
level of difficulty",1.8,4.8
Ronald Johnson,https://www.ratemyprofessors.com/professor/703680,QUALITY,,5 ratings,Chemistry,Emory University,"N/A
would take again",N/A,"3.6
level of difficulty",3.6,2.8
Martin Shapiro,https://www.ratemyprofessors.com/professor/756793,QUALITY,4.3,3 ratings,Psychology,Emory University,"N/A
would take again",N/A,"2.3
level of difficulty",2.3,4.3
Tara Doyle,https://www.ratemyprofessors.com/professor/760254,QUALITY,,6 ratings,Religion,Emory University,"50%
would take again",50%,"2
level of difficulty",2,3.7
Pat Brennan,https://www.ratemyprofessors.com/professor/762808,QUALITY,4.5,11 ratings,Psychology,Emory University,"100%
would take again",100%,"3.2
level of difficulty",3.2,4.5
Barbara Strock,https://www.ratemyprofessors.com/professor/762810,QUALITY,,29 ratings,Psychology,Emory University,"28%
would take again",28%,"3.7
level of difficulty",3.7,3.4
Richard Luger,https://www.ratemyprofessors.com/professor/777602,QUALITY,,5 ratings,Economics,Emory University,"N/A
would take again",N/A,"3.6
level of difficulty",3.6,2.1
Leonard Carlson,https://www.ratemyprofessors.com/professor/779756,QUALITY,,20 ratings,Economics,Emory University,"20%
would take again",20%,"2.4
level of difficulty",2.4,3.1
Ken Anderson,https://www.ratemyprofessors.com/professor/783199,QUALITY,4,4 ratings,Philosophy,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3,4
Fereydoon Family,https://www.ratemyprofessors.com/professor/799722,QUALITY,,13 ratings,Physics,Emory University,"100%
would take again",100%,"3.5
level of difficulty",3.5,3.5
Myffy Hopkins,https://www.ratemyprofessors.com/professor/802126,QUALITY,4.8,3 ratings,Biology,Emory University,"N/A
would take again",N/A,"3.3
level of difficulty",3.3,4.8
Robert McCauley,https://www.ratemyprofessors.com/professor/811882,QUALITY,4.1,8 ratings,Philosophy,Emory University,"100%
would take again",100%,"3.9
level of difficulty",3.9,4.1
George Engelhard,https://www.ratemyprofessors.com/professor/818639,QUALITY,4.3,2 ratings,Education,Emory University,"N/A
would take again",N/A,"2.5
level of difficulty",2.5,4.3
Rich Metters,https://www.ratemyprofessors.com/professor/821594,QUALITY,4.3,3 ratings,Business,Emory University,"N/A
would take again",N/A,"2.7
level of difficulty",2.7,4.3
Erin Sells,https://www.ratemyprofessors.com/professor/825392,QUALITY,,2 ratings,English,Emory University,"N/A
would take again",N/A,"4
level of difficulty",4,2.8
Jennifer Brady,https://www.ratemyprofessors.com/professor/825394,QUALITY,4.1,4 ratings,English,Emory University,"N/A
would take again",N/A,"1.5
level of difficulty",1.5,4.1
Camille Cottrell,https://www.ratemyprofessors.com/professor/833567,QUALITY,5,5 ratings,Art History,Emory University,"100%
would take again",100%,"2.4
level of difficulty",2.4,5
Victoria Finnerty,https://www.ratemyprofessors.com/professor/837427,QUALITY,,10 ratings,Biology,Emory University,"N/A
would take again",N/A,"3.4
level of difficulty",3.4,2.1
Barry Yedvobnick,https://www.ratemyprofessors.com/professor/837431,QUALITY,4.9,13 ratings,Biology,Emory University,"100%
would take again",100%,"2.8
level of difficulty",2.8,4.9
Jennifer Orth,https://www.ratemyprofessors.com/professor/844209,QUALITY,4,2 ratings,English,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2,4
Xue Wang,https://www.ratemyprofessors.com/professor/844210,QUALITY,,6 ratings,Business,Emory University,"N/A
would take again",N/A,"2.8
level of difficulty",2.8,3.6
Robert Agnew,https://www.ratemyprofessors.com/professor/853400,QUALITY,,11 ratings,Sociology,Emory University,"0%
would take again",0%,"2.7
level of difficulty",2.7,3.9
Nick Fotion,https://www.ratemyprofessors.com/professor/860918,QUALITY,,12 ratings,Philosophy,Emory University,"100%
would take again",100%,"2.6
level of difficulty",2.6,3.8
Mark Ravina,https://www.ratemyprofessors.com/professor/862418,QUALITY,4.1,11 ratings,History,Emory University,"0%
would take again",0%,"2.6
level of difficulty",2.6,4.1
Eric Butler,https://www.ratemyprofessors.com/professor/874956,QUALITY,,7 ratings,Languages,Emory University,"N/A
would take again",N/A,"2.3
level of difficulty",2.3,3.9
Jennifer Svienty,https://www.ratemyprofessors.com/professor/897539,QUALITY,,4 ratings,Languages,Emory University,"N/A
would take again",N/A,"3.3
level of difficulty",3.3,3
Harrison Daniel,https://www.ratemyprofessors.com/professor/900010,QUALITY,,0 ratings,Religion,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0,0
Tim Halloran,https://www.ratemyprofessors.com/professor/911096,QUALITY,4.3,3 ratings,Business,Emory University,"N/A
would take again",N/A,"3.7
level of difficulty",3.7,4.3
Grace Pownall,https://www.ratemyprofessors.com/professor/934163,QUALITY,,10 ratings,Business,Emory University,"0%
would take again",0%,"3.9
level of difficulty",3.9,3.7
Pamela Scully,https://www.ratemyprofessors.com/professor/937260,QUALITY,4.5,6 ratings,Women's Studies,Emory University,"75%
would take again",75%,"3.5
level of difficulty",3.5,4.5
Irina Zaitseva,https://www.ratemyprofessors.com/professor/946409,QUALITY,,17 ratings,Languages,Emory University,"0%
would take again",0%,"3.8
level of difficulty",3.8,3.2
Amy Cook,https://www.ratemyprofessors.com/professor/978093,QUALITY,,0 ratings,Theater,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0,0
Leslie Taylor,https://www.ratemyprofessors.com/professor/978812,QUALITY,5,3 ratings,Theater,Emory University,"100%
would take again",100%,"2
level of difficulty",2,5
Nathaniel Vigil,https://www.ratemyprofessors.com/professor/978814,QUALITY,4.8,3 ratings,History,Emory University,"N/A
would take again",N/A,"2.7
level of difficulty",2.7,4.8
Vincent Murphy,https://www.ratemyprofessors.com/professor/979189,QUALITY,,15 ratings,Theater,Emory University,"20%
would take again",20%,"2.2
level of difficulty",2.2,3.3
Richard Levinson,https://www.ratemyprofessors.com/professor/980129,QUALITY,5,2 ratings,Health Science,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2,5
Julia House,https://www.ratemyprofessors.com/professor/980495,QUALITY,4.5,2 ratings,Languages,Emory University,"N/A
would take again",N/A,"3.5
level of difficulty",3.5,4.5
Marni Davis,https://www.ratemyprofessors.com/professor/990055,QUALITY,,0 ratings,History,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0,0
Beverly Schaffer,https://www.ratemyprofessors.com/professor/994457,QUALITY,,9 ratings,Economics,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3,2.8
Ricardo Gutierrez-Mouat,https://www.ratemyprofessors.com/professor/1002700,QUALITY,,8 ratings,Spanish,Emory University,"N/A
would take again",N/A,"2.5
level of difficulty",2.5,3.1
Rick Doner,https://www.ratemyprofessors.com/professor/1004216,QUALITY,4.8,2 ratings,Political Science,Emory University,"100%
would take again",100%,"4
level of difficulty",4,4.8
Harvey Klehr,https://www.ratemyprofessors.com/professor/1005062,QUALITY,4.3,13 ratings,Political Science,Emory University,"100%
would take again",100%,"3.4
level of difficulty",3.4,4.3
Ronald Calabrese,https://www.ratemyprofessors.com/professor/1011752,QUALITY,,7 ratings,Biology,Emory University,"N/A
would take again",N/A,"3.7
level of difficulty",3.7,3.3
Peter Bing,https://www.ratemyprofessors.com/professor/1015841,QUALITY,,9 ratings,Classics,Emory University,"34%
would take again",34%,"3.6
level of difficulty",3.6,3.3
Vaughn Schmutz,https://www.ratemyprofessors.com/professor/1018637,QUALITY,4.5,4 ratings,Sociology,Emory University,"N/A
would take again",N/A,"2.5
level of difficulty",2.5,4.5
Sarah Vitorino,https://www.ratemyprofessors.com/professor/1022118,QUALITY,5,4 ratings,Women's Studies,Emory University,"N/A
would take again",N/A,"3.8
level of difficulty",3.8,5
Fred Helenius,https://www.ratemyprofessors.com/professor/1022675,QUALITY,5,15 ratings,Mathematics,Emory University,"N/A
would take again",N/A,"2.1
level of difficulty",2.1,5
Jennifer Terni,https://www.ratemyprofessors.com/professor/1033367,QUALITY,,0 ratings,French,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0,0
Christine Perkell,https://www.ratemyprofessors.com/professor/1033950,QUALITY,,19 ratings,Classics,Emory University,"50%
would take again",50%,"2.2
level of difficulty",2.2,3.8
Paul Courtright,https://www.ratemyprofessors.com/professor/1040876,QUALITY,,6 ratings,Religion,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2,2.1
Carla Chelko,https://www.ratemyprofessors.com/professor/1042404,QUALITY,4,4 ratings,Physical Education,Emory University,"N/A
would take again",N/A,"1.5
level of difficulty",1.5,4
Sean Thomas,https://www.ratemyprofessors.com/professor/1047792,QUALITY,,6 ratings,Mathematics,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2,3.4
Eddy Von Mueller,https://www.ratemyprofessors.com/professor/1065603,QUALITY,4.3,14 ratings,Film,Emory University,"100%
would take again",100%,"2.6
level of difficulty",2.6,4.3
Kinnari Amin,https://www.ratemyprofessors.com/professor/1080841,QUALITY,,6 ratings,Mathematics,Emory University,"N/A
would take again",N/A,"4.5
level of difficulty",4.5,3.2
Lily Yang,https://www.ratemyprofessors.com/professor/1084278,QUALITY,,0 ratings,Science,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0,0
Kieth Easterling,https://www.ratemyprofessors.com/professor/1084408,QUALITY,,14 ratings,Science,Emory University,"50%
would take again",50%,"3.3
level of difficulty",3.3,3.1
Sarah Stein,https://www.ratemyprofessors.com/professor/1088817,QUALITY,,3 ratings,English,Emory University,"N/A
would take again",N/A,"2.3
level of difficulty",2.3,3.3
Robert Desrochers,https://www.ratemyprofessors.com/professor/1101247,QUALITY,,9 ratings,History,Emory University,"N/A
would take again",N/A,"3.3
level of difficulty",3.3,3.8
Richard Williamon,https://www.ratemyprofessors.com/professor/1107182,QUALITY,,7 ratings,Physics,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3,3.7
Eugene Agichtein,https://www.ratemyprofessors.com/professor/1107935,QUALITY,,14 ratings,Computer Science,Emory University,"34%
would take again",34%,"4.2
level of difficulty",4.2,3.5
Mary Ann Glynn,https://www.ratemyprofessors.com/professor/1108725,QUALITY,,0 ratings,Business,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0,0
Gordon Newby,https://www.ratemyprofessors.com/professor/1109543,QUALITY,,7 ratings,International Studies,Emory University,"N/A
would take again",N/A,"1.9
level of difficulty",1.9,3.4
Timothy McDonough,https://www.ratemyprofessors.com/professor/1112099,QUALITY,5,4 ratings,Theater,Emory University,"N/A
would take again",N/A,"3.5
level of difficulty",3.5,5
Sarah Gouzoules,https://www.ratemyprofessors.com/professor/1121022,QUALITY,,12 ratings,Anthropology,Emory University,"N/A
would take again",N/A,"3.9
level of difficulty",3.9,3.3
Scott Lacy,https://www.ratemyprofessors.com/professor/1121060,QUALITY,,6 ratings,Anthropology,Emory University,"N/A
would take again",N/A,"2.3
level of difficulty",2.3,3.7
Lawrence Barsalou,https://www.ratemyprofessors.com/professor/1126564,QUALITY,,13 ratings,Psychology,Emory University,"100%
would take again",100%,"3.2
level of difficulty",3.2,3.3
Paul Rubin,https://www.ratemyprofessors.com/professor/1127101,QUALITY,4.3,4 ratings,Economics,Emory University,"N/A
would take again",N/A,"1.3
level of difficulty",1.3,4.3
Joyce Flueckiger,https://www.ratemyprofessors.com/professor/1131229,QUALITY,4.8,2 ratings,Anthropology,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2,4.8
Kathryn Amdur,https://www.ratemyprofessors.com/professor/1132157,QUALITY,,16 ratings,History,Emory University,"43%
would take again",43%,"3.6
level of difficulty",3.6,3.1
Mark Bauerlein,https://www.ratemyprofessors.com/professor/1139086,QUALITY,,7 ratings,English,Emory University,"0%
would take again",0%,"1.4
level of difficulty",1.4,3.4
Domenico Crudo,https://www.ratemyprofessors.com/professor/1140506,QUALITY,4.5,1 ratings,Languages,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2,4.5
Alex Weil,https://www.ratemyprofessors.com/professor/1145129,QUALITY,,0 ratings,English,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0,0
Barbara Peck,https://www.ratemyprofessors.com/professor/1147915,QUALITY,,2 ratings,Health Science,Emory University,"N/A
would take again",N/A,"4.5
level of difficulty",4.5,3.5
Sermin Gungor,https://www.ratemyprofessors.com/professor/1170915,QUALITY,5,1 ratings,Economics,Emory University,"N/A
would take again",N/A,"1
level of difficulty",1,5
Niall Slater,https://www.ratemyprofessors.com/professor/1173660,QUALITY,4.9,9 ratings,Classics,Emory University,"100%
would take again",100%,"3
level of difficulty",3,4.9
Theophus Smith,https://www.ratemyprofessors.com/professor/1245336,QUALITY,,4 ratings,Religion,Emory University,"0%
would take again",0%,"2.8
level of difficulty",2.8,1.9
Julia Bullock,https://www.ratemyprofessors.com/professor/1247192,QUALITY,,10 ratings,Languages,Emory University,"80%
would take again",80%,"3.6
level of difficulty",3.6,3.8
Cora MacBeth,https://www.ratemyprofessors.com/professor/1248290,QUALITY,4.9,17 ratings,Chemistry,Emory University,"N/A
would take again",N/A,"2.5
level of difficulty",2.5,4.9
Brian Croxall,https://www.ratemyprofessors.com/professor/1255527,QUALITY,4.5,2 ratings,English,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3,4.5
Diana Keough,https://www.ratemyprofessors.com/professor/1256959,QUALITY,,0 ratings,Journalism,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0,0
Sarah Davis,https://www.ratemyprofessors.com/professor/1259388,QUALITY,,0 ratings,Anthropology,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0,0
Tom Clark,https://www.ratemyprofessors.com/professor/1260338,QUALITY,,2 ratings,Political Science,Emory University,"N/A
would take again",N/A,"3.5
level of difficulty",3.5,3
Devin Stewart,https://www.ratemyprofessors.com/professor/1260346,QUALITY,,5 ratings,Religion,Emory University,"100%
would take again",100%,"3.4
level of difficulty",3.4,3.9
Shelley Matthews,https://www.ratemyprofessors.com/professor/1217256,QUALITY,,0 ratings,Sociology,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0,0
Justin Esarey,https://www.ratemyprofessors.com/professor/1217915,QUALITY,,3 ratings,Political Science,Emory University,"100%
would take again",100%,"4
level of difficulty",4,3
Lauren Matthews,https://www.ratemyprofessors.com/professor/1228649,QUALITY,,10 ratings,English,Emory University,"N/A
would take again",N/A,"4.2
level of difficulty",4.2,2.3
Laura Otis,https://www.ratemyprofessors.com/professor/1246827,QUALITY,4.5,9 ratings,English,Emory University,"86%
would take again",86%,"3.4
level of difficulty",3.4,4.5
Dennis Choi,https://www.ratemyprofessors.com/professor/1262427,QUALITY,,0 ratings,Biology,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0,0
David Pratt,https://www.ratemyprofessors.com/professor/1263025,QUALITY,,12 ratings,Film,Emory University,"100%
would take again",100%,"3.1
level of difficulty",3.1,2.5
Amanda Rogers,https://www.ratemyprofessors.com/professor/1276953,QUALITY,4.3,2 ratings,Languages,Emory University,"N/A
would take again",N/A,"4
level of difficulty",4,4.3
Mary Brown Bullock,https://www.ratemyprofessors.com/professor/1277097,QUALITY,4,3 ratings,History,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3,4
Verena Kuhlemann,https://www.ratemyprofessors.com/professor/1318379,QUALITY,,0 ratings,Mathematics,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0,0
Lynn Maxwell,https://www.ratemyprofessors.com/professor/1321565,QUALITY,4,5 ratings,Literature,Emory University,"N/A
would take again",N/A,"2.8
level of difficulty",2.8,4
Jonathan Goldberg,https://www.ratemyprofessors.com/professor/1324778,QUALITY,,4 ratings,English,Emory University,"N/A
would take again",N/A,"4.5
level of difficulty",4.5,2.5
Mary Grabar,https://www.ratemyprofessors.com/professor/1330633,QUALITY,,5 ratings,English,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3,2.3
Paul Wrayno,https://www.ratemyprofessors.com/professor/1331128,QUALITY,,4 ratings,Mathematics,Emory University,"N/A
would take again",N/A,"4.5
level of difficulty",4.5,1.4
Laurie Gaydos,https://www.ratemyprofessors.com/professor/1333691,QUALITY,5,1 ratings,Social Science,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3,5
Chris Marshall,https://www.ratemyprofessors.com/professor/1336356,QUALITY,4.8,3 ratings,Physical Education,Emory University,"N/A
would take again",N/A,"1
level of difficulty",1,4.8
Andrew Francis,https://www.ratemyprofessors.com/professor/1337539,QUALITY,4.5,24 ratings,Economics,Emory University,"N/A
would take again",N/A,"3.3
level of difficulty",3.3,4.5
Paul Horn,https://www.ratemyprofessors.com/professor/1341858,QUALITY,,0 ratings,Mathematics,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0,0
Chang Liu,https://www.ratemyprofessors.com/professor/1344733,QUALITY,,1 ratings,Economics,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3,1
Simon Blakey,https://www.ratemyprofessors.com/professor/1345752,QUALITY,,1 ratings,Chemistry,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2,3
Sara Ward,https://www.ratemyprofessors.com/professor/1347107,QUALITY,,4 ratings,Theater,Emory University,"N/A
would take again",N/A,"1.5
level of difficulty",1.5,3.9
William Chace,https://www.ratemyprofessors.com/professor/1347820,QUALITY,,0 ratings,English,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0,0
Ivan Rasnik,https://www.ratemyprofessors.com/professor/1347988,QUALITY,,1 ratings,Physics,Emory University,"N/A
would take again",N/A,"1
level of difficulty",1,3
Laura Namy,https://www.ratemyprofessors.com/professor/1348087,QUALITY,,5 ratings,Psychology,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3,3.9
Victor Corces,https://www.ratemyprofessors.com/professor/1361747,QUALITY,4.3,18 ratings,Biology,Emory University,"67%
would take again",67%,"2.3
level of difficulty",2.3,4.3
Chris Rider,https://www.ratemyprofessors.com/professor/1370485,QUALITY,4,4 ratings,Business,Emory University,"100%
would take again",100%,"4.5
level of difficulty",4.5,4
Margaret Keneman,https://www.ratemyprofessors.com/professor/1381703,QUALITY,4.5,3 ratings,Languages,Emory University,"N/A
would take again",N/A,"1
level of difficulty",1,4.5
Jim Grimsley,https://www.ratemyprofessors.com/professor/1391448,QUALITY,,8 ratings,Writing,Emory University,"100%
would take again",100%,"3.2
level of difficulty",3.2,3.8
Leroy Davis,https://www.ratemyprofessors.com/professor/1397696,QUALITY,,5 ratings,History,Emory University,"N/A
would take again",N/A,"2.4
level of difficulty",2.4,2.7
Tianquan Lian,https://www.ratemyprofessors.com/professor/1406044,QUALITY,,2 ratings,Chemistry,Emory University,"0%
would take again",0%,"4.5
level of difficulty",4.5,2
