professor,Title_URL,rating,numRating,Department,cardschool__schoolsc19lmz2k1,cardfeedback__cardfeedbackitemlq6nix1,cardfeedback__cardfeedbackitemlq6nix13,cardfeedback__cardfeedbackitemlq6nix14,cardfeedback__cardfeedbackitemlq6nix15
Micheal Giles,https://www.ratemyprofessors.com/professor/440767,3.6,21 ratings,Political Science,Emory University,"N/A
would take again",N/A,"3.6
level of difficulty",3.6
Dorothy Fletcher,https://www.ratemyprofessors.com/professor/445165,4.8,9 ratings,Art History,Emory University,"N/A
would take again",N/A,"2.3
level of difficulty",2.3
Noriko Takeda,https://www.ratemyprofessors.com/professor/448345,4.2,16 ratings,Languages,Emory University,"100%
would take again",100%,"3.7
level of difficulty",3.7
Larry Taulbee,https://www.ratemyprofessors.com/professor/456466,2.4,14 ratings,Political Science,Emory University,"N/A
would take again",N/A,"3.8
level of difficulty",3.8
Vanessa Siddle Walker,https://www.ratemyprofessors.com/professor/461839,1.8,16 ratings,Education,Emory University,"0%
would take again",0%,"1.8
level of difficulty",1.8
Regina Werum,https://www.ratemyprofessors.com/professor/461854,4,12 ratings,Sociology,Emory University,"N/A
would take again",N/A,"3.5
level of difficulty",3.5
Joseph Cadray,https://www.ratemyprofessors.com/professor/462152,2.6,7 ratings,Education,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2
Richard Prior,https://www.ratemyprofessors.com/professor/464605,4.6,25 ratings,Music,Emory University,"84%
would take again",84%,"2.6
level of difficulty",2.6
Casey Cochran,https://www.ratemyprofessors.com/professor/475865,4.8,10 ratings,Education,Emory University,"N/A
would take again",N/A,"1.2
level of difficulty",1.2
Judy Raggi Moore,https://www.ratemyprofessors.com/professor/488681,3.7,8 ratings,Languages,Emory University,"N/A
would take again",N/A,"3.9
level of difficulty",3.9
Jennifer Holzman,https://www.ratemyprofessors.com/professor/522312,4.8,22 ratings,Biology,Emory University,"N/A
would take again",N/A,"3.1
level of difficulty",3.1
Corey Keyes,https://www.ratemyprofessors.com/professor/534624,4.1,56 ratings,Sociology,Emory University,"75%
would take again",75%,"3.2
level of difficulty",3.2
Judith Rohrer,https://www.ratemyprofessors.com/professor/562087,3,5 ratings,Art History,Emory University,"N/A
would take again",N/A,"3.2
level of difficulty",3.2
Sung Mo,https://www.ratemyprofessors.com/professor/570739,3.1,5 ratings,Chemistry,Emory University,"N/A
would take again",N/A,"3.2
level of difficulty",3.2
Harry Rusche,https://www.ratemyprofessors.com/professor/579962,4.8,14 ratings,English,Emory University,"N/A
would take again",N/A,"1.7
level of difficulty",1.7
Daphne Norton,https://www.ratemyprofessors.com/professor/598424,1.8,15 ratings,Chemistry,Emory University,"N/A
would take again",N/A,"3.3
level of difficulty",3.3
Darrell Stokes,https://www.ratemyprofessors.com/professor/608801,3.3,16 ratings,Biology,Emory University,"N/A
would take again",N/A,"2.6
level of difficulty",2.6
Holloway Sparks,https://www.ratemyprofessors.com/professor/617480,3.9,8 ratings,Women's Studies,Emory University,"N/A
would take again",N/A,"3.1
level of difficulty",3.1
Myron Kaufman,https://www.ratemyprofessors.com/professor/619372,1.4,8 ratings,Chemistry,Emory University,"N/A
would take again",N/A,"4.5
level of difficulty",4.5
Vladimir Oliker,https://www.ratemyprofessors.com/professor/619373,3,9 ratings,Mathematics,Emory University,"N/A
would take again",N/A,"3.2
level of difficulty",3.2
David Howard,https://www.ratemyprofessors.com/professor/638580,4.8,11 ratings,Economics,Emory University,"100%
would take again",100%,"3.4
level of difficulty",3.4
Lori Marino,https://www.ratemyprofessors.com/professor/643034,2.4,8 ratings,Psychology,Emory University,"N/A
would take again",N/A,"3.1
level of difficulty",3.1
Ron Schuchard,https://www.ratemyprofessors.com/professor/654300,4.4,4 ratings,English,Emory University,"N/A
would take again",N/A,"3.3
level of difficulty",3.3
Gregg Orloff,https://www.ratemyprofessors.com/professor/683644,4.6,14 ratings,Biology,Emory University,"100%
would take again",100%,"3.4
level of difficulty",3.4
Janice Akers,https://www.ratemyprofessors.com/professor/692495,4.8,15 ratings,Theater,Emory University,"N/A
would take again",N/A,"1.8
level of difficulty",1.8
Ronald Johnson,https://www.ratemyprofessors.com/professor/703680,2.8,5 ratings,Chemistry,Emory University,"N/A
would take again",N/A,"3.6
level of difficulty",3.6
Martin Shapiro,https://www.ratemyprofessors.com/professor/756793,4.3,3 ratings,Psychology,Emory University,"N/A
would take again",N/A,"2.3
level of difficulty",2.3
Tara Doyle,https://www.ratemyprofessors.com/professor/760254,3.7,6 ratings,Religion,Emory University,"50%
would take again",50%,"2
level of difficulty",2
Pat Brennan,https://www.ratemyprofessors.com/professor/762808,4.5,11 ratings,Psychology,Emory University,"100%
would take again",100%,"3.2
level of difficulty",3.2
Barbara Strock,https://www.ratemyprofessors.com/professor/762810,3.4,29 ratings,Psychology,Emory University,"28%
would take again",28%,"3.7
level of difficulty",3.7
Richard Luger,https://www.ratemyprofessors.com/professor/777602,2.1,5 ratings,Economics,Emory University,"N/A
would take again",N/A,"3.6
level of difficulty",3.6
Leonard Carlson,https://www.ratemyprofessors.com/professor/779756,3.1,20 ratings,Economics,Emory University,"20%
would take again",20%,"2.4
level of difficulty",2.4
Ken Anderson,https://www.ratemyprofessors.com/professor/783199,4,4 ratings,Philosophy,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3
Fereydoon Family,https://www.ratemyprofessors.com/professor/799722,3.5,13 ratings,Physics,Emory University,"100%
would take again",100%,"3.5
level of difficulty",3.5
Myffy Hopkins,https://www.ratemyprofessors.com/professor/802126,4.8,3 ratings,Biology,Emory University,"N/A
would take again",N/A,"3.3
level of difficulty",3.3
Robert McCauley,https://www.ratemyprofessors.com/professor/811882,4.1,8 ratings,Philosophy,Emory University,"100%
would take again",100%,"3.9
level of difficulty",3.9
George Engelhard,https://www.ratemyprofessors.com/professor/818639,4.3,2 ratings,Education,Emory University,"N/A
would take again",N/A,"2.5
level of difficulty",2.5
Rich Metters,https://www.ratemyprofessors.com/professor/821594,4.3,3 ratings,Business,Emory University,"N/A
would take again",N/A,"2.7
level of difficulty",2.7
Erin Sells,https://www.ratemyprofessors.com/professor/825392,2.8,2 ratings,English,Emory University,"N/A
would take again",N/A,"4
level of difficulty",4
Jennifer Brady,https://www.ratemyprofessors.com/professor/825394,4.1,4 ratings,English,Emory University,"N/A
would take again",N/A,"1.5
level of difficulty",1.5
Camille Cottrell,https://www.ratemyprofessors.com/professor/833567,5,5 ratings,Art History,Emory University,"100%
would take again",100%,"2.4
level of difficulty",2.4
Victoria Finnerty,https://www.ratemyprofessors.com/professor/837427,2.1,10 ratings,Biology,Emory University,"N/A
would take again",N/A,"3.4
level of difficulty",3.4
Barry Yedvobnick,https://www.ratemyprofessors.com/professor/837431,4.9,13 ratings,Biology,Emory University,"100%
would take again",100%,"2.8
level of difficulty",2.8
Jennifer Orth,https://www.ratemyprofessors.com/professor/844209,4,2 ratings,English,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2
Xue Wang,https://www.ratemyprofessors.com/professor/844210,3.6,6 ratings,Business,Emory University,"N/A
would take again",N/A,"2.8
level of difficulty",2.8
Robert Agnew,https://www.ratemyprofessors.com/professor/853400,3.9,11 ratings,Sociology,Emory University,"0%
would take again",0%,"2.7
level of difficulty",2.7
Nick Fotion,https://www.ratemyprofessors.com/professor/860918,3.8,12 ratings,Philosophy,Emory University,"100%
would take again",100%,"2.6
level of difficulty",2.6
Mark Ravina,https://www.ratemyprofessors.com/professor/862418,4.1,11 ratings,History,Emory University,"0%
would take again",0%,"2.6
level of difficulty",2.6
Eric Butler,https://www.ratemyprofessors.com/professor/874956,3.9,7 ratings,Languages,Emory University,"N/A
would take again",N/A,"2.3
level of difficulty",2.3
Jennifer Svienty,https://www.ratemyprofessors.com/professor/897539,3,4 ratings,Languages,Emory University,"N/A
would take again",N/A,"3.3
level of difficulty",3.3
Harrison Daniel,https://www.ratemyprofessors.com/professor/900010,0,0 ratings,Religion,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0
Tim Halloran,https://www.ratemyprofessors.com/professor/911096,4.3,3 ratings,Business,Emory University,"N/A
would take again",N/A,"3.7
level of difficulty",3.7
Grace Pownall,https://www.ratemyprofessors.com/professor/934163,3.7,10 ratings,Business,Emory University,"0%
would take again",0%,"3.9
level of difficulty",3.9
Pamela Scully,https://www.ratemyprofessors.com/professor/937260,4.5,6 ratings,Women's Studies,Emory University,"75%
would take again",75%,"3.5
level of difficulty",3.5
Irina Zaitseva,https://www.ratemyprofessors.com/professor/946409,3.2,17 ratings,Languages,Emory University,"0%
would take again",0%,"3.8
level of difficulty",3.8
Amy Cook,https://www.ratemyprofessors.com/professor/978093,0,0 ratings,Theater,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0
Leslie Taylor,https://www.ratemyprofessors.com/professor/978812,5,3 ratings,Theater,Emory University,"100%
would take again",100%,"2
level of difficulty",2
Nathaniel Vigil,https://www.ratemyprofessors.com/professor/978814,4.8,3 ratings,History,Emory University,"N/A
would take again",N/A,"2.7
level of difficulty",2.7
Vincent Murphy,https://www.ratemyprofessors.com/professor/979189,3.3,15 ratings,Theater,Emory University,"20%
would take again",20%,"2.2
level of difficulty",2.2
Richard Levinson,https://www.ratemyprofessors.com/professor/980129,5,2 ratings,Health Science,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2
Julia House,https://www.ratemyprofessors.com/professor/980495,4.5,2 ratings,Languages,Emory University,"N/A
would take again",N/A,"3.5
level of difficulty",3.5
Marni Davis,https://www.ratemyprofessors.com/professor/990055,0,0 ratings,History,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0
Beverly Schaffer,https://www.ratemyprofessors.com/professor/994457,2.8,9 ratings,Economics,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3
Ricardo Gutierrez-Mouat,https://www.ratemyprofessors.com/professor/1002700,3.1,8 ratings,Spanish,Emory University,"N/A
would take again",N/A,"2.5
level of difficulty",2.5
Rick Doner,https://www.ratemyprofessors.com/professor/1004216,4.8,2 ratings,Political Science,Emory University,"100%
would take again",100%,"4
level of difficulty",4
Harvey Klehr,https://www.ratemyprofessors.com/professor/1005062,4.3,13 ratings,Political Science,Emory University,"100%
would take again",100%,"3.4
level of difficulty",3.4
Ronald Calabrese,https://www.ratemyprofessors.com/professor/1011752,3.3,7 ratings,Biology,Emory University,"N/A
would take again",N/A,"3.7
level of difficulty",3.7
Peter Bing,https://www.ratemyprofessors.com/professor/1015841,3.3,9 ratings,Classics,Emory University,"34%
would take again",34%,"3.6
level of difficulty",3.6
Vaughn Schmutz,https://www.ratemyprofessors.com/professor/1018637,4.5,4 ratings,Sociology,Emory University,"N/A
would take again",N/A,"2.5
level of difficulty",2.5
Sarah Vitorino,https://www.ratemyprofessors.com/professor/1022118,5,4 ratings,Women's Studies,Emory University,"N/A
would take again",N/A,"3.8
level of difficulty",3.8
Fred Helenius,https://www.ratemyprofessors.com/professor/1022675,5,15 ratings,Mathematics,Emory University,"N/A
would take again",N/A,"2.1
level of difficulty",2.1
Jennifer Terni,https://www.ratemyprofessors.com/professor/1033367,0,0 ratings,French,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0
Christine Perkell,https://www.ratemyprofessors.com/professor/1033950,3.8,19 ratings,Classics,Emory University,"50%
would take again",50%,"2.2
level of difficulty",2.2
Paul Courtright,https://www.ratemyprofessors.com/professor/1040876,2.1,6 ratings,Religion,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2
Carla Chelko,https://www.ratemyprofessors.com/professor/1042404,4,4 ratings,Physical Education,Emory University,"N/A
would take again",N/A,"1.5
level of difficulty",1.5
Sean Thomas,https://www.ratemyprofessors.com/professor/1047792,3.4,6 ratings,Mathematics,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2
Eddy Von Mueller,https://www.ratemyprofessors.com/professor/1065603,4.3,14 ratings,Film,Emory University,"100%
would take again",100%,"2.6
level of difficulty",2.6
Kinnari Amin,https://www.ratemyprofessors.com/professor/1080841,3.2,6 ratings,Mathematics,Emory University,"N/A
would take again",N/A,"4.5
level of difficulty",4.5
Lily Yang,https://www.ratemyprofessors.com/professor/1084278,0,0 ratings,Science,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0
Kieth Easterling,https://www.ratemyprofessors.com/professor/1084408,3.1,14 ratings,Science,Emory University,"50%
would take again",50%,"3.3
level of difficulty",3.3
Sarah Stein,https://www.ratemyprofessors.com/professor/1088817,3.3,3 ratings,English,Emory University,"N/A
would take again",N/A,"2.3
level of difficulty",2.3
Robert Desrochers,https://www.ratemyprofessors.com/professor/1101247,3.8,9 ratings,History,Emory University,"N/A
would take again",N/A,"3.3
level of difficulty",3.3
Richard Williamon,https://www.ratemyprofessors.com/professor/1107182,3.7,7 ratings,Physics,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3
Eugene Agichtein,https://www.ratemyprofessors.com/professor/1107935,3.5,14 ratings,Computer Science,Emory University,"34%
would take again",34%,"4.2
level of difficulty",4.2
Mary Ann Glynn,https://www.ratemyprofessors.com/professor/1108725,0,0 ratings,Business,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0
Gordon Newby,https://www.ratemyprofessors.com/professor/1109543,3.4,7 ratings,International Studies,Emory University,"N/A
would take again",N/A,"1.9
level of difficulty",1.9
Timothy McDonough,https://www.ratemyprofessors.com/professor/1112099,5,4 ratings,Theater,Emory University,"N/A
would take again",N/A,"3.5
level of difficulty",3.5
Sarah Gouzoules,https://www.ratemyprofessors.com/professor/1121022,3.3,12 ratings,Anthropology,Emory University,"N/A
would take again",N/A,"3.9
level of difficulty",3.9
Scott Lacy,https://www.ratemyprofessors.com/professor/1121060,3.7,6 ratings,Anthropology,Emory University,"N/A
would take again",N/A,"2.3
level of difficulty",2.3
Lawrence Barsalou,https://www.ratemyprofessors.com/professor/1126564,3.3,13 ratings,Psychology,Emory University,"100%
would take again",100%,"3.2
level of difficulty",3.2
Paul Rubin,https://www.ratemyprofessors.com/professor/1127101,4.3,4 ratings,Economics,Emory University,"N/A
would take again",N/A,"1.3
level of difficulty",1.3
Joyce Flueckiger,https://www.ratemyprofessors.com/professor/1131229,4.8,2 ratings,Anthropology,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2
Kathryn Amdur,https://www.ratemyprofessors.com/professor/1132157,3.1,16 ratings,History,Emory University,"43%
would take again",43%,"3.6
level of difficulty",3.6
Mark Bauerlein,https://www.ratemyprofessors.com/professor/1139086,3.4,7 ratings,English,Emory University,"0%
would take again",0%,"1.4
level of difficulty",1.4
Domenico Crudo,https://www.ratemyprofessors.com/professor/1140506,4.5,1 ratings,Languages,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2
Alex Weil,https://www.ratemyprofessors.com/professor/1145129,0,0 ratings,English,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0
Barbara Peck,https://www.ratemyprofessors.com/professor/1147915,3.5,2 ratings,Health Science,Emory University,"N/A
would take again",N/A,"4.5
level of difficulty",4.5
Sermin Gungor,https://www.ratemyprofessors.com/professor/1170915,5,1 ratings,Economics,Emory University,"N/A
would take again",N/A,"1
level of difficulty",1
Niall Slater,https://www.ratemyprofessors.com/professor/1173660,4.9,9 ratings,Classics,Emory University,"100%
would take again",100%,"3
level of difficulty",3
Theophus Smith,https://www.ratemyprofessors.com/professor/1245336,1.9,4 ratings,Religion,Emory University,"0%
would take again",0%,"2.8
level of difficulty",2.8
Julia Bullock,https://www.ratemyprofessors.com/professor/1247192,3.8,10 ratings,Languages,Emory University,"80%
would take again",80%,"3.6
level of difficulty",3.6
Cora MacBeth,https://www.ratemyprofessors.com/professor/1248290,4.9,17 ratings,Chemistry,Emory University,"N/A
would take again",N/A,"2.5
level of difficulty",2.5
Brian Croxall,https://www.ratemyprofessors.com/professor/1255527,4.5,2 ratings,English,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3
Diana Keough,https://www.ratemyprofessors.com/professor/1256959,0,0 ratings,Journalism,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0
Sarah Davis,https://www.ratemyprofessors.com/professor/1259388,0,0 ratings,Anthropology,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0
Tom Clark,https://www.ratemyprofessors.com/professor/1260338,3,2 ratings,Political Science,Emory University,"N/A
would take again",N/A,"3.5
level of difficulty",3.5
Devin Stewart,https://www.ratemyprofessors.com/professor/1260346,3.9,5 ratings,Religion,Emory University,"100%
would take again",100%,"3.4
level of difficulty",3.4
Shelley Matthews,https://www.ratemyprofessors.com/professor/1217256,0,0 ratings,Sociology,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0
Justin Esarey,https://www.ratemyprofessors.com/professor/1217915,3,3 ratings,Political Science,Emory University,"100%
would take again",100%,"4
level of difficulty",4
Lauren Matthews,https://www.ratemyprofessors.com/professor/1228649,2.3,10 ratings,English,Emory University,"N/A
would take again",N/A,"4.2
level of difficulty",4.2
Laura Otis,https://www.ratemyprofessors.com/professor/1246827,4.5,9 ratings,English,Emory University,"86%
would take again",86%,"3.4
level of difficulty",3.4
Dennis Choi,https://www.ratemyprofessors.com/professor/1262427,0,0 ratings,Biology,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0
David Pratt,https://www.ratemyprofessors.com/professor/1263025,2.5,12 ratings,Film,Emory University,"100%
would take again",100%,"3.1
level of difficulty",3.1
Amanda Rogers,https://www.ratemyprofessors.com/professor/1276953,4.3,2 ratings,Languages,Emory University,"N/A
would take again",N/A,"4
level of difficulty",4
Mary Brown Bullock,https://www.ratemyprofessors.com/professor/1277097,4,3 ratings,History,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3
Verena Kuhlemann,https://www.ratemyprofessors.com/professor/1318379,0,0 ratings,Mathematics,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0
Lynn Maxwell,https://www.ratemyprofessors.com/professor/1321565,4,5 ratings,Literature,Emory University,"N/A
would take again",N/A,"2.8
level of difficulty",2.8
Jonathan Goldberg,https://www.ratemyprofessors.com/professor/1324778,2.5,4 ratings,English,Emory University,"N/A
would take again",N/A,"4.5
level of difficulty",4.5
Mary Grabar,https://www.ratemyprofessors.com/professor/1330633,2.3,5 ratings,English,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3
Paul Wrayno,https://www.ratemyprofessors.com/professor/1331128,1.4,4 ratings,Mathematics,Emory University,"N/A
would take again",N/A,"4.5
level of difficulty",4.5
Laurie Gaydos,https://www.ratemyprofessors.com/professor/1333691,5,1 ratings,Social Science,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3
Chris Marshall,https://www.ratemyprofessors.com/professor/1336356,4.8,3 ratings,Physical Education,Emory University,"N/A
would take again",N/A,"1
level of difficulty",1
Andrew Francis,https://www.ratemyprofessors.com/professor/1337539,4.5,24 ratings,Economics,Emory University,"N/A
would take again",N/A,"3.3
level of difficulty",3.3
Paul Horn,https://www.ratemyprofessors.com/professor/1341858,0,0 ratings,Mathematics,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0
Chang Liu,https://www.ratemyprofessors.com/professor/1344733,1,1 ratings,Economics,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3
Simon Blakey,https://www.ratemyprofessors.com/professor/1345752,3,1 ratings,Chemistry,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2
Sara Ward,https://www.ratemyprofessors.com/professor/1347107,3.9,4 ratings,Theater,Emory University,"N/A
would take again",N/A,"1.5
level of difficulty",1.5
William Chace,https://www.ratemyprofessors.com/professor/1347820,0,0 ratings,English,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0
Ivan Rasnik,https://www.ratemyprofessors.com/professor/1347988,3,1 ratings,Physics,Emory University,"N/A
would take again",N/A,"1
level of difficulty",1
Laura Namy,https://www.ratemyprofessors.com/professor/1348087,3.9,5 ratings,Psychology,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3
Victor Corces,https://www.ratemyprofessors.com/professor/1361747,4.3,18 ratings,Biology,Emory University,"67%
would take again",67%,"2.3
level of difficulty",2.3
Chris Rider,https://www.ratemyprofessors.com/professor/1370485,4,4 ratings,Business,Emory University,"100%
would take again",100%,"4.5
level of difficulty",4.5
Margaret Keneman,https://www.ratemyprofessors.com/professor/1381703,4.5,3 ratings,Languages,Emory University,"N/A
would take again",N/A,"1
level of difficulty",1
Jim Grimsley,https://www.ratemyprofessors.com/professor/1391448,3.8,8 ratings,Writing,Emory University,"100%
would take again",100%,"3.2
level of difficulty",3.2
Leroy Davis,https://www.ratemyprofessors.com/professor/1397696,2.7,5 ratings,History,Emory University,"N/A
would take again",N/A,"2.4
level of difficulty",2.4
Tianquan Lian,https://www.ratemyprofessors.com/professor/1406044,2,2 ratings,Chemistry,Emory University,"0%
would take again",0%,"4.5
level of difficulty",4.5
Mary Odem,https://www.ratemyprofessors.com/professor/1413768,4.8,2 ratings,Women's Studies,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3
Molly Zuckerman,https://www.ratemyprofessors.com/professor/1414950,4.5,1 ratings,Anthropology,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3
Jagdish Sheth,https://www.ratemyprofessors.com/professor/1419890,4,3 ratings,Business,Emory University,"100%
would take again",100%,"3.3
level of difficulty",3.3
Bill Kelly,https://www.ratemyprofessors.com/professor/1347129,4.3,6 ratings,Biology,Emory University,"100%
would take again",100%,"3.5
level of difficulty",3.5
Jed Brody,https://www.ratemyprofessors.com/professor/1369481,4.2,10 ratings,Physics,Emory University,"100%
would take again",100%,"2.1
level of difficulty",2.1
William Gilders,https://www.ratemyprofessors.com/professor/1373897,4,17 ratings,Religion,Emory University,"79%
would take again",79%,"2.7
level of difficulty",2.7
Rebecca Stone,https://www.ratemyprofessors.com/professor/1480646,4.9,4 ratings,Art History,Emory University,"100%
would take again",100%,"3.3
level of difficulty",3.3
Tami Thomas,https://www.ratemyprofessors.com/professor/1486525,5,1 ratings,Nursing,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3
Jared Rothstein,https://www.ratemyprofessors.com/professor/1487364,4,1 ratings,Philosophy,Emory University,"N/A
would take again",N/A,"1
level of difficulty",1
Wendy Farley,https://www.ratemyprofessors.com/professor/1489483,4.5,3 ratings,Religion,Emory University,"N/A
would take again",N/A,"2.7
level of difficulty",2.7
Huili Zheng,https://www.ratemyprofessors.com/professor/1489976,5,1 ratings,Ethnic Studies,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2
Joseph Crespino,https://www.ratemyprofessors.com/professor/1492399,4.3,11 ratings,History,Emory University,"86%
would take again",86%,"2.8
level of difficulty",2.8
Amanda Pendleton,https://www.ratemyprofessors.com/professor/1493654,4.3,2 ratings,Biology,Emory University,"N/A
would take again",N/A,"2.5
level of difficulty",2.5
Zizhang Tong,https://www.ratemyprofessors.com/professor/1496379,5,1 ratings,Languages,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3
Juan Del Aguila,https://www.ratemyprofessors.com/professor/1500993,3,1 ratings,Political Science,Emory University,"N/A
would take again",N/A,"4
level of difficulty",4
Roberto Pacifici,https://www.ratemyprofessors.com/professor/1505510,0,0 ratings,Medicine,Emory University,"N/A
would take again",N/A,"0
level of difficulty",0
Claire Wofford,https://www.ratemyprofessors.com/professor/1509312,5,1 ratings,Political Science,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2
Melody Siegler,https://www.ratemyprofessors.com/professor/1509806,1.9,6 ratings,Biology,Emory University,"N/A
would take again",N/A,"2.7
level of difficulty",2.7
