,Class Number,Class title
416,HIST 799R,Advanced Research
417,HLTH 220,Introduction to Nutrition Science
418,HLTH 331,Disability & Bioethics
419,HLTH 350R,Core Issues in Global Health Advocating for Global Health
420,HLTH 399R,Directed Research
421,HPM 550,Capstone-Operations Management
422,HPM 555,Health Care Management in the Outpatient Setting
423,HPM 557,Healthcare Administration Law
424,HPM 560,Capstone-Strategic Management
425,HPM 595,Applied Practice Experience
426,HPM 597R,Directed Study
427,HPM 599R,Thesis
428,HPM 797R,Directed Study
429,HPM 798R,Pre-Candidacy Research
430,HPM 799R,Dissertation Research
431,ICIVS 790R,Qualifying Exam Preparation
432,ICIVS 798R,Pre-Candidacy Research
433,ICIVS 799R,Dissertation Research
434,IDS 207,Foundation Development Studies
435,IDS 490R,Supervised Reading and Study
436,ILA 799R,Research For Ph.D. Candidates
437,IMP 699R,Advanced Graduate Research
438,IMP 799R,Dissertation Research
439,INFO 597R,Directed Study
440,INFO 598R,Capstone
441,INTERN 496,Experiential Links to Major
442,INTERN 497R,Advanced Practicum for Major
443,ISOM 351,Process & Systems Management
444,ISOM 356,Think.Code.Make
445,ISOM 550,Data & Decision Analytics
446,ISOM 551,Processes & Systems Mgmt
447,ISOM 551A,Processes and Systems Management
448,ISOM 552,Technology & Adaptive Systems
449,ISOM 650,Decision Modeling
450,ISOM 653,Operations Strategy
451,ITAL 101,"Language & Culture, Elem I"
452,ITAL 102,"Language & Culture, Elem. II"
453,ITAL 370W,Noodle NarrativesSilk Road
454,JPE 610,Jones Program in Ethics Workshop Remote Ethics Training
455,JPE 610,Jones Program in Ethics Workshop Remote Zoom Recording DMP
456,JPE 610,Jones Program in Ethics Workshop Remote Workshop I
457,JPE 610,Jones Program in Ethics Workshop Remote Workshop II
458,JPN 101,Elementary Japanese I
459,JPN 102,Elementary Japanese II
460,JS 370,Topics in Jewish Religion & Culture
461,KRN 101,Elementary Korean I
462,KRN 102,Elementary Korean II
463,LA 645,Non_Proft Leadership & Management
464,LACS 265W,Visitor Meets Native
465,LAT 110,Intensive Latin
466,LAW 574,Supervised Essay on Legal Practice
467,LAW 599C,U.S. Courts and Oral Advocacy
468,LAW 599F,Residency Dispute Resolution
469,LAW 724L,Capstone Comparative Law
470,LAW 871A,Extern Fieldwork - Summer
471,LAW 897,Directed ResearchSpecific Topics
472,LAW 901,Supervised Research
473,LAW 901A,Supervised Research Accelerated
474,LAW 901B,Supervised Research Accelerated 2
475,LAW 910,SJD Research - G1
476,LAW 920,SJD Research - G2
477,WITT,Meets
478,LAW 930,SJD Research - G3
479,SHEP,Meets
480,LAW 955,Dissertation Defense
481,MATH 110,Transition to Calculus
482,MATH 111,Calculus I
483,MATH 112,Calculus II
484,MATH 210,Advanced Calculus for Data Sciences
485,MATH 211,Advanced Calculus (Multivariable)
486,MATH 212,Differential Equations
487,MATH 221,Linear Algebra
488,MATH 361,Mathematical Statistics I
489,MATH 362,Mathematical Statistics II
490,MATH 597R,Directed Study
491,MATH 799R,Research
492,MD 565,Foundation Gastrointestinal
493,MD 570,Foundations Renal & Genitourinary
494,MD 580,Evidence Based Medicine
495,MD 635,Foundation Review Self Study
496,MD 639,Essentials of Patient Care (EPC)
497,MD 705,Application Adult Primary Care
498,MD 706,Application Pediatric Primary Care
499,MD 710,Application Internal Medicine
500,MD 715,Application Neurology
501,MD 720,Application ObstetricsGynecology
502,MD 725,Application Pediatrics
503,MD 730,Application Psychiatry
504,MD 735,Application Surgery
505,MD 740,Application Anesthesiology
506,MD 741,Application Dermatology
507,MD 742,Application Palliative Medicine
508,MD 743,Application Ophthalmology
509,MD 745,Application Radiology
510,MD 749,Applications Essentials of Patient Care (EPC) II
511,MD 750,Applications Ethics in Medicine
512,MD 755,Integration I
513,MD 756,Integration II
514,MD 840,General Course Elective
515,MD 905,Translation Senior Medicine Sub-Internship
516,MD 906,TRANS Sr Surg Sub-Internship
517,MD 907,Translation Senior Pediatric Sub-Internship
518,MD 910,Translation Critical Care
519,MD 915,Translation Emergency Medicine
520,MD 920,Translation Elective Adv.Gen.Diagnostic Radiology
521,RA10,Meets
522,MD 920,Translation Elective Advanced Heart Failure
523,CO13,Meets
524,MD 920,Translation Elective Anesthesia for Surgical Subspecialties
525,AN02,Meets
526,MD 920,Translation Elective App.& Fnd. of Edu. in Med Ed.
527,MED,Meets
528,MD 920,Translation Elective Child Neurology (Peds)
529,PE11,Meets
530,MD 920,Translation Elective Dermatology
531,D01,Meets
532,MD 920,Translation Elective Digestive Diseases
533,DD02,Meets
534,MD 920,Translation Elective ElectiveIndependentlyArranged
535,SPEC,Meets
536,MD 920,Translation Elective Emergency Medicine-Virtual
537,EM10,Meets
538,MD 920,Translation Elective ExplorationHlth.Syst.Sciences
539,HS01,Meets
540,N. Spell III,MD 920
541,FP02,Meets
542,MD 920,Translation Elective Female Pelvic Med.&Reconst.Srg
543,GO06,Meets
544,MD 920,Translation Elective General Diagnostic Radiology
545,RA01,Meets
546,MD 920,Translation Elective General Obstetrics & Gynecol.
547,GO04,Meets
548,MD 920,Translation Elective General Surgery (Virtual)
549,SU48,Meets
550,MD 920,"Translation Elective HIV Infections, Outpatient"
551,ID06,Meets
552,MD 920,Translation Elective Hematology
553,HO03,Meets
554,MD 920,Translation Elective High-Risk Obstetrics
555,GO02,Meets
556,MD 920,Translation Elective Hurst Cardiology
557,CO10,Meets
558,MD 920,Translation Elective Independent Study
559,IND,Meets
560,MD 920,Translation Elective Inpatient Psychiatry
561,P06,Meets
562,MD 920,Translation Elective Intro. to Medical Humanities
563,GM24,Meets
564,MD 920,Translation Elective Introduction to Medical Education and Clinicl Tra
565,GM18,Meets
566,MD 920,Translation Elective Labor and Delivery
567,GO03,Meets
568,MD 920,Translation Elective MedicineClinical Problem-Solv
569,GM28,Meets
570,MD 920,Translation Elective Nephrology
571,NI03,Meets
572,MD 920,Translation Elective Neurology(Elective)
573,NE09,Meets
574,MD 920,Translation Elective Ocular Oncology & Pathology
575,O04,Meets
576,MD 920,Translation Elective Ophthalmology
577,MD 920,Translation Elective Orthopaedic Externship
578,OS02,Meets
579,MD 920,Translation Elective Orthopedic Surgery (Virtual)
580,OS06,Meets
581,MD 920,Translation Elective Pathology
582,PA01,Meets
583,MD 920,Translation Elective Ped.EmergencyUrgent Care
584,PE04,Meets
585,MD 920,Translation Elective Ped.Hematology Oncology BMT
586,PE07,Meets
587,MD 920,Translation Elective Pediatric Infectious Diseases
588,PE08,Meets
589,MD 920,Translation Elective Pediatric Nephrology
590,PE12,Meets
591,MD 920,Translation Elective Pediatrics In-Patient
592,PE02,Meets
593,MD 920,Translation Elective Plastic Surgery (Virtual)
594,SU47,Meets
595,MD 920,Translation Elective Professional Activ. Residency
596,GM29,Meets
597,MD 920,Translation Elective Psy.in Med.PracticeConsult Psy
598,P09,Meets
599,MD 920,Translation Elective Psychiatry & Behav.Sciences
600,P02,Meets
601,MD 920,Translation Elective Radiation Oncology
602,CR01,Meets
603,MD 920,Translation Elective Reproduc.Endocrinol.&Infertil.
604,GO05,Meets
605,MD 920,Translation Elective Research
606,RSCH,Meets
607,MD 920,Translation Elective Surgery Education(4th yr only)
608,SU50,Meets
609,MD 920,Translation Elective Surgical Oncology
610,SU08,Meets
611,MD 920,Translation Elective TelemedPall.Care During Pand.
612,MD 920,Translation Elective Virtual Diagnostic Radiology
613,RA16,Meets
614,MDIV 999R,MDIV Administrative Fee
615,MDP 596R,United States Based Internship
616,MDP 597R,Directed Study Program Evaluation Approaches
617,MDP 597R,Directed Study Spatial Analysis
618,MDPH 525R,Intro to Dissertation Research in Immunology & Molecular Pathogenesis
619,MDPH 530R,Intro to Dissertation Research in Microbiology & Molecular Genetics
620,MDPH 540R,Intro to Dissertation Research in Neuroscience
621,MDPH 560R,Intro to Diss. Rsch in CS
622,MDPH 610R,Research Rotation in Biomedical Engineering
623,MDPH 615R,Research Rotation in Epidemiology
624,MDPH 620R,Research Rotation in Genetics and Molecular Biology
625,MDPH 625R,Research Rotation in Immunology and Molecular Pathogenesis
626,MDPH 630R,Research Rotation in MMG
627,MDPH 635R,Research Rotation in Molecular and Systems Pharmacology
628,MDPH 640R,Research Rotation in Neuroscience
629,MDPH 655R,Intro. to Medical Scientist Training
630,MDPH 670R,Research Rotation in Cancer Biology
631,MDPH 799R,Med Science Directed Study-MdPhd MDPhD Clinical Skills Refresher
632,MI 213C,Medical Imaging Procedures
633,MI 221C,Anatomy & Physiology
634,MI 301,Survey of Medical and Surgical Diseases
635,MI 321B,Physical Principles of Imaging
636,MI 323,Medical Imaging Safety
637,MI 325A,Principles of Radiographic Technique
638,MI 361A,Clinical Internship
639,MI 421,Imaging Equipment
640,MI 430,Principles of Management
641,MI 431,Business Communication
642,MI 440,Intro to Medical Imaging Ed.
643,MI 441,Methods and Materials of Teaching
644,MI 450,CT Physics and Instrumentation
645,MI 451A,CT Procedures
646,MI 453A,MRI Physics and Instrumentation
647,MI 455A,MRI Procedures
648,MI 457A,Advanced Clinical Procedures I Interventional Radiology
649,MI 457A,Advanced Clinical Procedures I Women's Imaging (Mammography)
650,MI 461A,Clinical Practicum
651,MI 463A,Management Practicum
652,MI 465A,CT Practicum
653,MI 467A,MRI Practicum
654,MI 469A,Advanced Clinical Practicum I Interventional Radiology
655,MI 469A,Advanced Clinical Practicum I Women's Imaging (Mammography)
656,MKT 340,Marketing Management
657,MKT 540B,Marketing Management
658,MKT 540Y,Marketing Management
659,MMG 597R,Laboratory Rotations
660,MMG 699R,Advanced Graduate Research
661,MMG 799R,Dissertation Research
662,MRPL 999R,Master of Religion and Public Life Administrative Fee
663,MSCR 599R,Thesis
664,MSP 699R,Advanced Graduate Research
665,MSP 799R,Dissertation Research
666,MTS 999R,MTS Library Use
667,MUS 356W,"Women, Music and Culture"
668,MUS 370W,Special Topics Music Arts Writing & Criticism
669,MUS 496R,Internship to Music
670,NBB 302,Behavioral Neuroscience
671,NBB 401W,Perspectives in Neuroscience & Behavior
672,NBB 497W,Supervised Writing
673,NBB 498R,Supervised Reading
674,NHS 597R,Laboratory Rotations
675,NHS 599R,Thesis Research (Masters Level)
676,NHS 699R,Advanced Graduate Research
677,NHS 799R,Dissertation Research
678,NRSG 310,Pathophysiology for Nurses
679,NRSG 312,Foundations of Nursing Practice
680,NRSG 314,Clinical Practicum I
681,NRSG 315,Population Health Community & Public Health Nursing
682,NRSG 320,Pharmacology for Nurses
683,NRSG 324,Case Study Analysis Seminar I
684,NRSG 328,Pediatric Nursing
685,NRSG 330,Clinical Integration
686,NRSG 371,Professional Development II Evidence Based Nursing Practice
687,NRSG 372,"Professional Nursing Concepts, Issues & Trends"
688,NRSG 380,Health Assessment
