id,course_code_char,course_code_num,course_name,days,start_time,end_time,professor,professor_rate,professor_lev_diff,sql_text
18,AAS,375,Topics in Black Women's Studies: Black Women's Autobiographies,TTh,14:30:00,15:45:00,C. Sanders,3,2.4,"('AAS',375,'Topics in Black Women's Studies: Black Women's Autobiographies','TTh','14:30:00','15:45:00','C. Sanders',3.0,2.4),"
19,AAS,384,Slavery in US History and Culture,MW,16:00:00,17:15:00,M. Gordon,3,2.4,"('AAS',384,'Slavery in US History and Culture','MW','16:00:00','17:15:00','M. Gordon',3.0,2.4),"
20,AAS,385,Topics in Afr American Studies: African Am. & Housing Politics,TTh,13:00:00,14:15:00,J. Stewart,3,2.4,"('AAS',385,'Topics in Afr American Studies: African Am. & Housing Politics','TTh','13:00:00','14:15:00','J. Stewart',3.0,2.4),"
21,AAS,385,Topics in Afr American Studies: Black Middle Class in Film,MW,13:00:00,14:15:00,K. Wallace-Sanders,3,2.4,"('AAS',385,'Topics in Afr American Studies: Black Middle Class in Film','MW','13:00:00','14:15:00','K. Wallace-Sanders',3.0,2.4),"
22,AAS,385,Topics in Afr American Studies: Critical Black Thought,TTh,11:30:00,12:45:00,C. Warren,4.5,3.5,"('AAS',385,'Topics in Afr American Studies: Critical Black Thought','TTh','11:30:00','12:45:00','C. Warren',4.5,3.5),"
23,AAS,385,Topics in Afr American Studies: Afro- Pessissim,MW,16:00:00,17:15:00,L. Park,3,2.4,"('AAS',385,'Topics in Afr American Studies: Afro- Pessissim','MW','16:00:00','17:15:00','L. Park',3.0,2.4),"
24,AAS,385,"Topics in Afr American Studies: Mass Incarceration, Policing",MW,14:30:00,15:45:00,L. Park,3,2.4,"('AAS',385,'Topics in Afr American Studies: Mass Incarceration, Policing','MW','14:30:00','15:45:00','L. Park',3.0,2.4),"
25,AAS,385,Topics in Afr American Studies: Black Literary Theory,MW,11:30:00,12:45:00,B. Boyd,3,2.4,"('AAS',385,'Topics in Afr American Studies: Black Literary Theory','MW','11:30:00','12:45:00','B. Boyd',3.0,2.4),"
26,AAS,387,GA Civil Rights Cold Cases,T,14:30:00,17:15:00,H. Klibanoff,4.7,3.7,"('AAS',387,'GA Civil Rights Cold Cases','T','14:30:00','17:15:00','H. Klibanoff',4.7,3.7),"
27,AAS,701,Proseminar in African American Studies,M,14:00:00,17:00:00,W. Rucker,3,2.4,"('AAS',701,'Proseminar in African American Studies','M','14:00:00','17:00:00','W. Rucker',3.0,2.4),"
28,AAS,702,Readings and Methods in African American Studies,Th,14:00:00,17:00:00,C. Warren,4.5,3.5,"('AAS',702,'Readings and Methods in African American Studies','Th','14:00:00','17:00:00','C. Warren',4.5,3.5),"
29,AAS,710,"Topics in Gender and Sexuality: Power,Ident.,Logics Legibility",W,13:00:00,15:45:00,F. Sheth,3.3,4.3,"('AAS',710,'Topics in Gender and Sexuality: Power,Ident.,Logics Legibility','W','13:00:00','15:45:00','F. Sheth',3.3,4.3),"
30,AAS,710,Topics in Gender and Sexuality: Violence&Vice Blk Women'sHist.,T,9:00:00,12:00:00,K. Gross,3,2.4,"('AAS',710,'Topics in Gender and Sexuality: Violence&Vice Blk Women'sHist.','T','09:00:00','12:00:00','K. Gross',3.0,2.4),"
31,AAS,720,Topics in Social Justice and Social Movements: African Americans&Human Rights,W,14:00:00,17:00:00,C. Anderson,3,2.4,"('AAS',720,'Topics in Social Justice and Social Movements: African Americans&Human Rights','W','14:00:00','17:00:00','C. Anderson',3.0,2.4),"
32,AAS,730,Topics in Expressive Arts and Cultures: Africana Religious Studies,Th,10:00:00,13:00:00,Stewart/Lartey,5,3,"('AAS',730,'Topics in Expressive Arts and Cultures: Africana Religious Studies','Th','10:00:00','13:00:00','Stewart/Lartey',5.0,3.0),"
33,ACT,312,Financial Reporting I,MW,13:00:00,14:15:00,T. Smalls,3,2.4,"('ACT',312,'Financial Reporting I','MW','13:00:00','14:15:00','T. Smalls',3.0,2.4),"
34,ACT,399,Special Topics in Accounting: Sustainability Measures,MW,10:00:00,11:15:00,U. Rackliffe,4,3.4,"('ACT',399,'Special Topics in Accounting: Sustainability Measures','MW','10:00:00','11:15:00','U. Rackliffe',4.0,3.4),"
35,ACT,499,Special Topics: Data Analytics for Fin Bus Dec,TTh,10:00:00,11:15:00,A. Kays,3.5,4,"('ACT',499,'Special Topics: Data Analytics for Fin Bus Dec','TTh','10:00:00','11:15:00','A. Kays',3.5,4.0),"
36,ACT,599,Special Topics: Corporate Political Strategy,TTh,11:30:00,12:45:00,S. Sridharan,3,2.4,"('ACT',599,'Special Topics: Corporate Political Strategy','TTh','11:30:00','12:45:00','S. Sridharan',3.0,2.4),"
37,ACT,599,Special Topics: Sustainability Meas. & Reptg,MW,10:00:00,11:15:00,U. Rackliffe,4,3.4,"('ACT',599,'Special Topics: Sustainability Meas. & Reptg','MW','10:00:00','11:15:00','U. Rackliffe',4.0,3.4),"
38,ACT,599,Special Topics: Firm Fundamentals & Mispricing,TTh,14:30:00,15:45:00,T. Yohn,3,2.4,"('ACT',599,'Special Topics: Firm Fundamentals & Mispricing','TTh','14:30:00','15:45:00','T. Yohn',3.0,2.4),"
39,ACT,599,Special Topics: Corporate Political Strategy,TTh,11:30:00,12:45:00,S. Sridharan,3,2.4,"('ACT',599,'Special Topics: Corporate Political Strategy','TTh','11:30:00','12:45:00','S. Sridharan',3.0,2.4),"
40,ACT,599,Special Topics: Sustainability Meas. & Reptg,MW,10:00:00,11:15:00,U. Rackliffe,4,3.4,"('ACT',599,'Special Topics: Sustainability Meas. & Reptg','MW','10:00:00','11:15:00','U. Rackliffe',4.0,3.4),"
41,ACT,599,Special Topics: Firm Fundamentals & Mispricing,TTh,14:30:00,15:45:00,T. Yohn,3,2.4,"('ACT',599,'Special Topics: Firm Fundamentals & Mispricing','TTh','14:30:00','15:45:00','T. Yohn',3.0,2.4),"
42,ACT,680,Professional Development I Accounting,Th,18:00:00,20:00:00,J. Byrne,1.2,4.8,"('ACT',680,'Professional Development I Accounting','Th','18:00:00','20:00:00','J. Byrne',1.2,4.8),"
43,AFS,190,Frsh Seminar: African Studies: Humanitarian Inter.SexualViol.,TTh,8:30:00,9:45:00,P. Scully,4.5,3.5,"('AFS',190,'Frsh Seminar: African Studies: Humanitarian Inter.SexualViol.','TTh','08:30:00','09:45:00','P. Scully',4.5,3.5),"
44,AFS,270,Topic Seminar: Foundation Development Studies,TTh,13:00:00,14:15:00,P. Little,3,2.4,"('AFS',270,'Topic Seminar: Foundation Development Studies','TTh','13:00:00','14:15:00','P. Little',3.0,2.4),"
45,AFS,270,"Topic Seminar: Africa, Islam and Race",TTh,10:00:00,11:15:00,Y. Daddi Addoun,3,2.4,"('AFS',270,'Topic Seminar: Africa, Islam and Race','TTh','10:00:00','11:15:00','Y. Daddi Addoun',3.0,2.4),"
46,AFS,270,Topic Seminar: Colonialism and Independence,TTh,13:00:00,14:15:00,Y. Daddi Addoun,3,2.4,"('AFS',270,'Topic Seminar: Colonialism and Independence','TTh','13:00:00','14:15:00','Y. Daddi Addoun',3.0,2.4),"
47,AFS,270,Topic Seminar: Media in the Lusophone World,Th,16:00:00,17:15:00,A. Teixeira,3,2.4,"('AFS',270,'Topic Seminar: Media in the Lusophone World','Th','16:00:00','17:15:00','A. Teixeira',3.0,2.4),"
48,AFS,270,Topic Seminar: Law & Social Justice,TTh,13:00:00,14:15:00,A. Chira,5,2.7,"('AFS',270,'Topic Seminar: Law & Social Justice','TTh','13:00:00','14:15:00','A. Chira',5.0,2.7),"
49,AFS,270,Topic Seminar: African Religions,TTh,16:00:00,17:15:00,D. Premawardhana,4.8,1.4,"('AFS',270,'Topic Seminar: African Religions','TTh','16:00:00','17:15:00','D. Premawardhana',4.8,1.4),"
50,AFS,311,Nutritional Anthropology,MW,13:00:00,14:15:00,C. Hadley,3,2.4,"('AFS',311,'Nutritional Anthropology','MW','13:00:00','14:15:00','C. Hadley',3.0,2.4),"
51,AFS,319,"Media, Islam, and Social Movements",TTh,16:00:00,17:15:00,S. Cherribi,4,2.3,"('AFS',319,'Media, Islam, and Social Movements','TTh','16:00:00','17:15:00','S. Cherribi',4.0,2.3),"
52,AFS,353,Pol.Econ.of M.East & N. Africa,TTh,17:30:00,18:45:00,S. Cherribi,4,2.3,"('AFS',353,'Pol.Econ.of M.East & N. Africa','TTh','17:30:00','18:45:00','S. Cherribi',4.0,2.3),"
53,AFS,355,Historical Arts of Africa,TTh,11:30:00,12:45:00,K. Daniels,3,2.4,"('AFS',355,'Historical Arts of Africa','TTh','11:30:00','12:45:00','K. Daniels',3.0,2.4),"
54,AFS,366,Development Issues for Africa,MW,14:30:00,15:45:00,M. Ayogu,3,2.4,"('AFS',366,'Development Issues for Africa','MW','14:30:00','15:45:00','M. Ayogu',3.0,2.4),"
55,AFS,367,The Making of South Africa,TTh,8:30:00,9:45:00,C. Crais,3,2.4,"('AFS',367,'The Making of South Africa','TTh','08:30:00','09:45:00','C. Crais',3.0,2.4),"
56,AMST,228,Asian American History,TTh,16:00:00,17:15:00,C. Suh,5,2.4,"('AMST',228,'Asian American History','TTh','16:00:00','17:15:00','C. Suh',5.0,2.4),"
57,AMST,285,Special Topics: American Questions: Found of Amer Society to 1877,MW,10:00:00,11:15:00,M. Montalvo,3,2.4,"('AMST',285,'Special Topics: American Questions: Found of Amer Society to 1877','MW','10:00:00','11:15:00','M. Montalvo',3.0,2.4),"
58,AMST,285,Special Topics: American Questions: Latinx US History,TTh,14:30:00,15:45:00,I. Rodriguez,3,2.4,"('AMST',285,'Special Topics: American Questions: Latinx US History','TTh','14:30:00','15:45:00','I. Rodriguez',3.0,2.4),"
59,AMST,285,Special Topics: American Questions: Native American Hist to 1868,MW,16:00:00,17:15:00,L. Mortimer,3,2.4,"('AMST',285,'Special Topics: American Questions: Native American Hist to 1868','MW','16:00:00','17:15:00','L. Mortimer',3.0,2.4),"
60,AMST,285,Special Topics: American Questions: The Migrant South,TTh,10:00:00,11:15:00,I. Rodriguez,3,2.4,"('AMST',285,'Special Topics: American Questions: The Migrant South','TTh','10:00:00','11:15:00','I. Rodriguez',3.0,2.4),"
61,AMST,321,American Routes,MW,14:30:00,15:45:00,A. Tullos,3.9,2.6,"('AMST',321,'American Routes','MW','14:30:00','15:45:00','A. Tullos',3.9,2.6),"
62,AMST,348,Ethnic Experience in America,TTh,17:30:00,18:45:00,J. Prude,3,2.4,"('AMST',348,'Ethnic Experience in America','TTh','17:30:00','18:45:00','J. Prude',3.0,2.4),"
63,AMST,385,Special Topics: American Studies: Memory and Memoir,TTh,14:30:00,15:45:00,C. Blakeley,5,3.3,"('AMST',385,'Special Topics: American Studies: Memory and Memoir','TTh','14:30:00','15:45:00','C. Blakeley',5.0,3.3),"
64,AMST,387,GA Civil Rights Cold Cases,T,14:30:00,17:15:00,H. Klibanoff,4.7,3.7,"('AMST',387,'GA Civil Rights Cold Cases','T','14:30:00','17:15:00','H. Klibanoff',4.7,3.7),"
65,AMST,490,Senior Seminar,TTh,16:00:00,17:15:00,Loudermilk/Risjord,5,2.4,"('AMST',490,'Senior Seminar','TTh','16:00:00','17:15:00','Loudermilk/Risjord',5.0,2.4),"
66,ANT,101,Introduction To Anthropology,TTh,13:00:00,14:15:00,J. Lindo,4.5,2.6,"('ANT',101,'Introduction To Anthropology','TTh','13:00:00','14:15:00','J. Lindo',4.5,2.6),"
67,ANT,185,"Anthropology: Special Topics: Ancient Aliens, Lost Cities",MWF,11:30:00,12:45:00,S. Blakely,4,3.3,"('ANT',185,'Anthropology: Special Topics: Ancient Aliens, Lost Cities','MWF','11:30:00','12:45:00','S. Blakely',4.0,3.3),"
68,ANT,190,Freshman Seminar:Anthropology: Anthro in the World of Data,MW,10:00:00,11:15:00,C. Hadley,3,2.4,"('ANT',190,'Freshman Seminar:Anthropology: Anthro in the World of Data','MW','10:00:00','11:15:00','C. Hadley',3.0,2.4),"
69,ANT,190,"Freshman Seminar:Anthropology: Life, Land & Place",MW,11:30:00,12:45:00,D. Vidali,3,2.4,"('ANT',190,'Freshman Seminar:Anthropology: Life, Land & Place','MW','11:30:00','12:45:00','D. Vidali',3.0,2.4),"
70,ANT,200,Foundations of Behavior,TTh,8:30:00,9:45:00,Lonsdorf/Rilling,3,2.4,"('ANT',200,'Foundations of Behavior','TTh','08:30:00','09:45:00','Lonsdorf/Rilling',3.0,2.4),"
71,ANT,205,Foundations of Global Health,TTh,10:00:00,11:15:00,R. Hall-Clifford,3,3,"('ANT',205,'Foundations of Global Health','TTh','10:00:00','11:15:00','R. Hall-Clifford',3.0,3.0),"
72,ANT,207,Foundation Development Studies,TTh,13:00:00,14:15:00,P. Little,3,2.4,"('ANT',207,'Foundation Development Studies','TTh','13:00:00','14:15:00','P. Little',3.0,2.4),"
73,ANT,258,Anthropology of the Jews,TTh,10:00:00,11:15:00,D. Seeman,3,2.4,"('ANT',258,'Anthropology of the Jews','TTh','10:00:00','11:15:00','D. Seeman',3.0,2.4),"
74,ANT,285,Anthropology; Special Topics: African Religions,TTh,16:00:00,17:15:00,D. Premawardhana,4.8,1.4,"('ANT',285,'Anthropology; Special Topics: African Religions','TTh','16:00:00','17:15:00','D. Premawardhana',4.8,1.4),"
75,ANT,285,Anthropology; Special Topics: Introduction to Archaeology,TTh,11:30:00,12:45:00,P. Creamer,3,2.4,"('ANT',285,'Anthropology; Special Topics: Introduction to Archaeology','TTh','11:30:00','12:45:00','P. Creamer',3.0,2.4),"
76,ANT,302,Primate Behavior & Ecology,MW,10:00:00,11:15:00,M. Benitez,3,2.4,"('ANT',302,'Primate Behavior & Ecology','MW','10:00:00','11:15:00','M. Benitez',3.0,2.4),"
77,ANT,311,Nutritional Anthropology,MW,13:00:00,14:15:00,C. Hadley,3,2.4,"('ANT',311,'Nutritional Anthropology','MW','13:00:00','14:15:00','C. Hadley',3.0,2.4),"
78,ANT,325,"Language, Gender and Sexuality",TTh,13:00:00,14:15:00,Staff,3,2.4,"('ANT',325,'Language, Gender and Sexuality','TTh','13:00:00','14:15:00','Staff',3.0,2.4),"
79,ANT,339,Defining Health: Biocultural Perspectives,TTh,13:00:00,14:15:00,M. Lampl,3,2.4,"('ANT',339,'Defining Health: Biocultural Perspectives','TTh','13:00:00','14:15:00','M. Lampl',3.0,2.4),"
80,ANT,349,"Food, Health, and Society",MW,8:30:00,9:45:00,C. Quave,3,2.4,"('ANT',349,'Food, Health, and Society','MW','08:30:00','09:45:00','C. Quave',3.0,2.4),"
81,ANT,351,Sustainable Dev:Anthro Perspective,TTh,16:00:00,17:15:00,D. Nugent,3,2.4,"('ANT',351,'Sustainable Dev:Anthro Perspective','TTh','16:00:00','17:15:00','D. Nugent',3.0,2.4),"
82,ANT,385,Special Topics: Anthropology: Anthropology of Crisis,TTh,11:30:00,12:45:00,K. Lindquist,3,2.4,"('ANT',385,'Special Topics: Anthropology: Anthropology of Crisis','TTh','11:30:00','12:45:00','K. Lindquist',3.0,2.4),"
83,ANT,385,Special Topics: Anthropology: Humans and Their Environment,TTh,14:30:00,15:45:00,S. Tycko,3,2.4,"('ANT',385,'Special Topics: Anthropology: Humans and Their Environment','TTh','14:30:00','15:45:00','S. Tycko',3.0,2.4),"
84,ANT,391,"Law, Discipline, and Justice",MW,16:00:00,17:15:00,M. Peletz,3.9,3.7,"('ANT',391,'Law, Discipline, and Justice','MW','16:00:00','17:15:00','M. Peletz',3.9,3.7),"
85,ANT,455,Current Issues in Primatology,W,14:30:00,17:15:00,M. Benitez,3,2.4,"('ANT',455,'Current Issues in Primatology','W','14:30:00','17:15:00','M. Benitez',3.0,2.4),"
86,ANT,499,Capstone Seminar: Why Anthropology Matters,MW,11:30:00,12:45:00,A. Grimshaw,1,4,"('ANT',499,'Capstone Seminar: Why Anthropology Matters','MW','11:30:00','12:45:00','A. Grimshaw',1.0,4.0),"
87,ANT,500,Proseminar in Anthropology,T,16:00:00,18:45:00,P. Little,3,2.4,"('ANT',500,'Proseminar in Anthropology','T','16:00:00','18:45:00','P. Little',3.0,2.4),"
88,ANT,506,Culture And Power,W,18:00:00,20:45:00,D. Nugent,3,2.4,"('ANT',506,'Culture And Power','W','18:00:00','20:45:00','D. Nugent',3.0,2.4),"
89,ANT,510,Medical Anthropology,T,13:00:00,15:45:00,C. Ozawa-de Silva,3,2.4,"('ANT',510,'Medical Anthropology','T','13:00:00','15:45:00','C. Ozawa-de Silva',3.0,2.4),"
90,ANT,555,Research Seminar in Biological Anthropology,Th,16:00:00,17:15:00,Staff,3,2.4,"('ANT',555,'Research Seminar in Biological Anthropology','Th','16:00:00','17:15:00','Staff',3.0,2.4),"
91,ANT,585,Spec Tops: Anthropology: Current Issues in Primatology,W,14:30:00,17:15:00,M. Benitez,3,2.4,"('ANT',585,'Spec Tops: Anthropology: Current Issues in Primatology','W','14:30:00','17:15:00','M. Benitez',3.0,2.4),"
92,ANT,585,Spec Tops: Anthropology: Decolonizing Indigenous Hist,T,14:30:00,17:30:00,Lowery/Yannakakis,3,2.4,"('ANT',585,'Spec Tops: Anthropology: Decolonizing Indigenous Hist','T','14:30:00','17:30:00','Lowery/Yannakakis',3.0,2.4),"
93,ANT,585,Spec Tops: Anthropology: Popular & Public in LatAm Hist,Th,14:30:00,17:30:00,T. Rogers,4.4,3.3,"('ANT',585,'Spec Tops: Anthropology: Popular & Public in LatAm Hist','Th','14:30:00','17:30:00','T. Rogers',4.4,3.3),"
94,ANT,585,"Spec Tops: Anthropology: Core in Mind,Brain and Culture",TTh,13:00:00,14:15:00,D. Stout,3,2.4,"('ANT',585,'Spec Tops: Anthropology: Core in Mind,Brain and Culture','TTh','13:00:00','14:15:00','D. Stout',3.0,2.4),"
95,ARAB,301,Advanced Arabic I,MW,10:00:00,11:15:00,R. Cornell,4.7,1.8,"('ARAB',301,'Advanced Arabic I','MW','10:00:00','11:15:00','R. Cornell',4.7,1.8),"
96,ARAB,401,Advanced - Plus Arabic,MW,13:00:00,14:15:00,R. Cornell,4.7,1.8,"('ARAB',401,'Advanced - Plus Arabic','MW','13:00:00','14:15:00','R. Cornell',4.7,1.8),"
97,ARTHIST,103,Understanding Architecture,MW,16:00:00,17:15:00,Staff,3,2.4,"('ARTHIST',103,'Understanding Architecture','MW','16:00:00','17:15:00','Staff',3.0,2.4),"
98,ARTHIST,210,Introduction to Graphics & CAD,T,18:00:00,21:00:00,Staff,3,2.4,"('ARTHIST',210,'Introduction to Graphics & CAD','T','18:00:00','21:00:00','Staff',3.0,2.4),"
99,ARTHIST,212,Intro.to Digital Art History,F,11:30:00,13:30:00,N. Corrigan,3,2.4,"('ARTHIST',212,'Intro.to Digital Art History','F','11:30:00','13:30:00','N. Corrigan',3.0,2.4),"
100,ARTHIST,213,"Ancient Egypt Art 3000 - 1550,BC",TTh,13:00:00,14:15:00,R. Nyord,3.8,2,"('ARTHIST',213,'Ancient Egypt Art 3000 - 1550,BC','TTh','13:00:00','14:15:00','R. Nyord',3.8,2.0),"
101,ARTHIST,221,Art & Architecture of Ancient Greece,TTh,10:00:00,11:15:00,A. Ward,3,2.4,"('ARTHIST',221,'Art & Architecture of Ancient Greece','TTh','10:00:00','11:15:00','A. Ward',3.0,2.4),"
102,ARTHIST,233,Introducing Medieval Buildings,MW,13:00:00,14:15:00,E. Pastan,3,2.4,"('ARTHIST',233,'Introducing Medieval Buildings','MW','13:00:00','14:15:00','E. Pastan',3.0,2.4),"
103,ARTHIST,243,Arts Administration,F,13:00:00,15:45:00,A. Fristoe,4.7,1.4,"('ARTHIST',243,'Arts Administration','F','13:00:00','15:45:00','A. Fristoe',4.7,1.4),"
104,ARTHIST,252,"European Painting, 1590-1789",TTh,16:00:00,17:15:00,A. Maloney,3,2.4,"('ARTHIST',252,'European Painting, 1590-1789','TTh','16:00:00','17:15:00','A. Maloney',3.0,2.4),"
105,ARTHIST,265,Europe in the 20th Century,TTh,11:30:00,12:45:00,Cronan/Belden,3.5,3.3,"('ARTHIST',265,'Europe in the 20th Century','TTh','11:30:00','12:45:00','Cronan/Belden',3.5,3.3),"
106,ARTHIST,329,Topics: Art of Class Antiquity: Roman Art in the MCCM,TTh,13:00:00,14:15:00,E. Varner,3,2.4,"('ARTHIST',329,'Topics: Art of Class Antiquity: Roman Art in the MCCM','TTh','13:00:00','14:15:00','E. Varner',3.0,2.4),"
107,ARTHIST,349,Spec Stud:Renaissance Art History: Art in the Age of Dante,TTh,10:00:00,11:15:00,C. Campbell,3,2.4,"('ARTHIST',349,'Spec Stud:Renaissance Art History: Art in the Age of Dante','TTh','10:00:00','11:15:00','C. Campbell',3.0,2.4),"
108,ARTHIST,355,Historical Arts of Africa,TTh,11:30:00,12:45:00,K. Daniels,3,2.4,"('ARTHIST',355,'Historical Arts of Africa','TTh','11:30:00','12:45:00','K. Daniels',3.0,2.4),"
109,ARTHIST,369,Spec Stud:19th/20th Cent Art: A Play with Shabby Leftovers,TTh,14:30:00,15:45:00,L. Lee,4.1,3.9,"('ARTHIST',369,'Spec Stud:19th/20th Cent Art: A Play with Shabby Leftovers','TTh','14:30:00','15:45:00','L. Lee',4.1,3.9),"
110,ARTHIST,387,Issues in Art Conservation,Th,13:00:00,15:45:00,R. Stein,3,2.4,"('ARTHIST',387,'Issues in Art Conservation','Th','13:00:00','15:45:00','R. Stein',3.0,2.4),"
111,ARTHIST,470,Sem:Ancient Mediterr/Anatolian Art,M,14:30:00,17:15:00,R. Nyord,3.8,2,"('ARTHIST',470,'Sem:Ancient Mediterr/Anatolian Art','M','14:30:00','17:15:00','R. Nyord',3.8,2.0),"
112,ARTHIST,470,Sem:Ancient Mediterr/Anatolian Art: The Ancient City,T,13:00:00,15:45:00,A. Ward,3,2.4,"('ARTHIST',470,'Sem:Ancient Mediterr/Anatolian Art: The Ancient City','T','13:00:00','15:45:00','A. Ward',3.0,2.4),"
113,ARTHIST,475,Sem:Med/Euro/Renais/Baroque Art: Medieval Manuscripts,Th,10:00:00,12:45:00,E. Pastan,3,2.4,"('ARTHIST',475,'Sem:Med/Euro/Renais/Baroque Art: Medieval Manuscripts','Th','10:00:00','12:45:00','E. Pastan',3.0,2.4),"
114,ARTHIST,480,"Sem:Late18th Cont Eur&Am Art: Sculpture, Space, Place",T,10:00:00,12:45:00,L. Lee,4.1,3.9,"('ARTHIST',480,'Sem:Late18th Cont Eur&Am Art: Sculpture, Space, Place','T','10:00:00','12:45:00','L. Lee',4.1,3.9),"
115,ARTHIST,590,Seminar in Methods of Art Historical Research,W,17:15:00,20:00:00,T. Cronan,3.5,3.3,"('ARTHIST',590,'Seminar in Methods of Art Historical Research','W','17:15:00','20:00:00','T. Cronan',3.5,3.3),"
116,ARTHIST,592,Conservation/Cultural Properties,Th,13:00:00,15:45:00,R. Stein,3,2.4,"('ARTHIST',592,'Conservation/Cultural Properties','Th','13:00:00','15:45:00','R. Stein',3.0,2.4),"
117,ARTHIST,592,Intro Computer-Aided Design,T,18:00:00,21:00:00,Staff,3,2.4,"('ARTHIST',592,'Intro Computer-Aided Design','T','18:00:00','21:00:00','Staff',3.0,2.4),"
118,ARTHIST,719,Seminar: Ancient Egypt Art/Arch,M,14:30:00,17:15:00,R. Nyord,3.8,2,"('ARTHIST',719,'Seminar: Ancient Egypt Art/Arch','M','14:30:00','17:15:00','R. Nyord',3.8,2.0),"
119,ARTHIST,729,Seminar: Classical Art/Architect.: Reconstructing Anc Rome,T,13:00:00,15:45:00,E. Varner,3,2.4,"('ARTHIST',729,'Seminar: Classical Art/Architect.: Reconstructing Anc Rome','T','13:00:00','15:45:00','E. Varner',3.0,2.4),"
120,ARTHIST,739,Seminar: Medieval Art/Architect: Medieval Manuscripts,Th,10:00:00,12:45:00,E. Pastan,3,2.4,"('ARTHIST',739,'Seminar: Medieval Art/Architect: Medieval Manuscripts','Th','10:00:00','12:45:00','E. Pastan',3.0,2.4),"
